石狩市花川,100,石狩地方北部,43.1714,141.3156
石狩市聚富,100,石狩地方北部,43.2753,141.4175
石狩市厚田,100,石狩地方北部,43.4000,141.4344
石狩市浜益,100,石狩地方北部,43.6014,141.3881
石狩市花畔,100,石狩地方北部,43.1719,141.3044
当別町白樺,100,石狩地方北部,43.2236,141.5169
新篠津村第４７線,100,石狩地方北部,43.2256,141.6492
札幌中央区北２条,101,石狩地方中部,43.0603,141.3286
札幌中央区南４条,101,石狩地方中部,43.0547,141.3428
札幌北区太平,101,石狩地方中部,43.1389,141.3511
札幌北区篠路,101,石狩地方中部,43.1428,141.3578
札幌北区新琴似,101,石狩地方中部,43.1136,141.3303
札幌東区元町,101,石狩地方中部,43.0944,141.3742
札幌白石区北郷,101,石狩地方中部,43.0550,141.4214
札幌豊平区月寒東,101,石狩地方中部,43.0303,141.4000
札幌南区定山渓温泉,101,石狩地方中部,42.9719,141.1650
札幌南区川沿,101,石狩地方中部,43.0000,141.3325
札幌南区石山,101,石狩地方中部,42.9656,141.3306
札幌西区琴似,101,石狩地方中部,43.0739,141.3003
札幌厚別区もみじ台,101,石狩地方中部,43.0303,141.4931
札幌手稲区前田,101,石狩地方中部,43.1197,141.2639
江別市高砂町,101,石狩地方中部,43.1036,141.5358
江別市緑町,101,石狩地方中部,43.1158,141.5461
札幌清田区平岡,101,石狩地方中部,43.0000,141.4433
千歳市北栄,102,石狩地方南部,42.8258,141.6414
新千歳空港,102,石狩地方南部,42.7839,141.6786
千歳市若草,102,石狩地方南部,42.7897,141.6008
千歳市支笏湖温泉,102,石狩地方南部,42.7753,141.4019
恵庭市漁平,102,石狩地方南部,42.8433,141.4458
恵庭市京町,102,石狩地方南部,42.8819,141.5778
北広島市共栄,102,石狩地方南部,42.9922,141.5522
八雲町上の湯,105,渡島地方北部,42.1192,140.3661
八雲町住初町,105,渡島地方北部,42.2583,140.2633
八雲町熊石雲石町,105,渡島地方北部,42.1294,139.9814
長万部町平里,105,渡島地方北部,42.4942,140.3539
函館市尾札部町,106,渡島地方東部,41.8900,141.0289
函館市美原,106,渡島地方東部,41.8167,140.7539
函館市大森町,106,渡島地方東部,41.7700,140.7381
函館市泊町,106,渡島地方東部,41.7161,141.0022
函館市新浜町,106,渡島地方東部,41.8344,141.1408
函館市川汲町,106,渡島地方東部,41.9050,140.9694
函館市日ノ浜町,106,渡島地方東部,41.7878,141.1078
七飯町桜町,106,渡島地方東部,41.9031,140.6878
七飯町本町,106,渡島地方東部,41.8994,140.6956
鹿部町宮浜,106,渡島地方東部,42.0433,140.8064
渡島森町御幸町,106,渡島地方東部,42.1050,140.5764
渡島森町上台町,106,渡島地方東部,42.0961,140.5631
渡島森町砂原,106,渡島地方東部,42.1242,140.6669
渡島北斗市中央,106,渡島地方東部,41.8239,140.6533
渡島北斗市本町,106,渡島地方東部,41.8833,140.6439
渡島松前町福山,107,渡島地方西部,41.4297,140.1103
渡島松前町清部,107,渡島地方西部,41.5247,140.0067
福島町福島,107,渡島地方西部,41.4861,140.2469
知内町小谷石,107,渡島地方西部,41.5319,140.4139
知内町重内,107,渡島地方西部,41.5983,140.4186
木古内町木古内,107,渡島地方西部,41.6800,140.4328
檜山江差町姥神,110,檜山地方,41.8678,140.1247
檜山江差町中歌町,110,檜山地方,41.8689,140.1269
上ノ国町湯ノ岱,110,檜山地方,41.7492,140.2511
上ノ国町小砂子,110,檜山地方,41.6486,139.9975
上ノ国町大留,110,檜山地方,41.8006,140.1208
厚沢部町木間内,110,檜山地方,41.9350,140.3694
厚沢部町新町,110,檜山地方,41.9211,140.2256
乙部町緑町,110,檜山地方,41.9683,140.1361
今金町今金,110,檜山地方,42.4283,140.0175
せたな町北檜山区豊岡,110,檜山地方,42.4225,139.8767
せたな町大成区都,110,檜山地方,42.2283,139.8183
せたな町瀬棚区本町,110,檜山地方,42.4500,139.8536
せたな町瀬棚区北島歌,110,檜山地方,42.5947,139.8286
せたな町北檜山区徳島,110,檜山地方,42.4175,139.8828
小樽市勝納町,115,後志地方北部,43.1825,141.0169
